Name,Address,Phone Number,Latitude,Longitude,Area
    JINUA BIKE ZONE,Road no 01 Adarsh nagar,,25.579244,85.1606371,Road no 01
    Tony Auto Repairing Work,Nagar Nigam Office MIG-309 near Shivaji Park Gate Road,9430430702.0,25.5915566,85.1490848,MIG-309
    kalim motorcycle automobile workshop,Ram ugrhaha market E Boring Canal Rd,9939577571.0,25.6177723,85.1219875,Ram ugrhaha market
    Akarsh Bajaj Service Center,AH Complex Exhibition Rd,9708980044.0,25.613496,85.1431761,AH Complex
    Punam bike service center,Lohiya Path,,25.6009375,85.0739375,Lohiya Path
    Rahul bike service center & parts,Jakariyapur Jhali Rd near trinity globle school,,25.5813247,85.1799722,Jakariyapur Jhali Rd
    Prema Honda Service Centre,West Boring Canal Rd behind Laxmi nursing home,8102919331.0,25.621893,85.1225696,West Boring Canal Rd
    Sk automobile two wheeler bike servicing,Pillar no 21 Bailey Rd opp. Baily Road,,25.60512,85.0767024,Bailey Rd
    Nagendra Bike Service Centre,90 Feet Rd,9798250131.0,25.586516,85.1577559,90 Feet Rd
    Jawed Motor Cycle Workshop & Spare parts,near Karlo Automobiles Maruti Suzuki Showroom,9852851353.0,25.6134565,85.1175092,near Karlo Automobiles Maruti Suzuki Showroom
    Bajaj bike service,Bahadurpur gumti,9693373085.0,25.6015456,85.1670147,Bahadurpur gumti
    Repairo Moto,Number 5C 5C 12 Boring Rd,9229207021.0,25.6216835,85.1112433,12
    Sachin bike service center,sec-3 Ramnagri Rd,,25.6161985,85.0784266,sec-3
    Castrol Bike Point - Ramesh Auto Works,Bailey Rd opposite Indian Oil,9431459784.0,25.6065365,85.0703067,Bailey Rd
    TVS CREATIVE AUTO SERVICE,Kumar Tower BASEMENT East Boring Canal Road Boring Canal Rd,9334089649.0,25.6115353,85.1188619,Kumar Tower BASEMENT East Boring Canal Road
    Royal Enfield Service Center - Balprada Motors Pvt Ltd,Plot A5,9167299285.0,25.6344003,85.1009398,Plot
    Friend Auto Service,Kumhar Gali,,25.6201687,85.1300592,Kumhar Gali
    Jawed Bullet | Royal Enfield Service Center | Best Bullet Repair shop,J45W+4V4 Pirmohani Road Pahli Gali near uma cinema hall,7004536721.0,25.6078023,85.1472159,Pahli Gali
    MOTO SERVICE POINT,Opp post office near by mazar just beside lalji market Mahendru main road Ashok Rajpath Rd,7061452008.0,25.6171144,85.1756086,Opp post office near by mazar just beside lalji market Mahendru main road
    Vikas Bike Center,J446+93M,,25.6059532,85.1101797,J446+93M
    Yamaha Yati Automobiles Service Centre,70 Feet BPCL Rd,9129021234.0,25.5800183,85.1164689,70 Feet BPCL Rd
    RAJ Automobiles Royal Enfield Authorised Service Center,Vaishali golambar 12 Rajendra Nagar Main Rd near Shakti Dham mandir,7258032469.0,25.6060591,85.1588892,Rajendra Nagar Main Rd
    The Bike Care Service Centre,Ashiana - Digha Road near C R.P.F camp,9570622004.0,25.6254774,85.0847192,R.P.F
    Bharat Automobile Bike Parts sale & service,H5F2+WXQ,,25.574722,85.1526322,H5F2+WXQ
    Royal Enfield Service Center - Sukhmani Motors Pvt Ltd,Zero Mile near New Azad Body Builder,9167371298.0,25.5851223,85.1892767,Zero Mile
    Rajdhani Bike Centre,Grand Share Apartment Exhibition Rd,,25.6093169,85.142589,Grand Share Apartment
    Sharma Auto Service,opposite to Loyola School,,25.6355261,85.1073069,opposite to Loyola School
    RAJU SERVICES CENTRE,Patna Central School Rd,9334547544.0,25.5798849,85.1558065,Patna Central School Rd
    Biker's Junction,RK Bhattacharya Rd,9667412235.0,25.6087059,85.1447092,RK Bhattacharya Rd
    Shyam Auto Accesories - S.N Vehicle | Modified Bike Accessories | All Types of Bike Parts Dealer,Rupas Market near RK Bhattacharya Road,9835041553.0,25.6084315,85.1449089,Rupas Market
    Mahindra 2 Wheelers Service Centre,Patliputra Station Rd,9102164908.0,25.6128642,85.0650824,Patliputra Station Rd
    Raj Kumar Bike Service,H4MP+R49 Bypass Road Dhelwan Main Rd,8541879314.0,25.584547,85.1353654,Bypass Road
    MAHAVEER BIKE REPAIR AND SERVICE AT SOUTH SHIVPURI,J477+22J,6205570029.0,25.6125853,85.1125116,J477+22J
    S.K. Repairing Works,614 E K Sector Park Rd,9934648392.0,25.5916107,85.1587082,614
    Magadh Bajaj Service Centre,Park behind ananya tata beside Kumhrar,9153866310.0,25.6002796,85.1839444,behind ananya tata
    Chandan Hero Service,Adarsh Colony Bhootnath Rd,9798221579.0,25.5969979,85.1803467,Adarsh Colony
    New Lucky Bike Service Center,H5V7+5FM,9279778529.0,25.5929562,85.1636822,H5V7+5FM
    Prakash Bike Mechanic,J39M+WGX Friends Colony Rd Number 1,,25.6198631,85.0838445,J39M+WGX
    Gadi Mechanic bike & car service center & car wash,Sipara pull near vijay timber,9386901956.0,25.5842059,85.127324,Sipara pull
    Sonu Bullet repairing Centre,J46W+2G7 Pahli Gali,9431072702.0,25.6100319,85.1462981,J46W+2G7
    Road & Race,H4H2+RJ,6207636347.0,25.5795063,85.1015396,H4H2+RJ
    Sunny Bike Service centre and Pollution Centre,J3JV+QG3 Chandralok Market Main Road Rd Number 15,9060244540.0,25.6319223,85.0937676,Main Road
    THE AUTO MODUS (KTM Service Centre & Vespa Service Centre),THE AUTOMODUS Industrial Estate Road Patliputra Kurji Rd opposite Loyola High school,8986260062.0,25.6364045,85.1078768,Patliputra Kurji Rd
    IC Honda Service Center,,9708818181.0,25.6109526,85.0645095,
    Patliputra Automobiles,Sahi Lane,6122202758.0,25.6111498,85.1413714,Sahi Lane
    Anamika Honda Service Centre,D 150,8709273604.0,25.592499,85.150691,D 150
    Maa annapurna automobile services centre,H5VC+JRX TV Tower Rd,,25.5941121,85.1721012,H5VC+JRX
    Bablu motorcycle repairing & servicing centre,J49F+FVR Buddha Colony Rd near bhaujan samaj party office,7488085404.0,25.6187446,85.1246261,Buddha Colony Rd
    Ajay Bullet Repairing Centre,Bailey Rd,,25.6043624,85.0907641,Bailey Rd
    Md. Alam Bike Repairing Centre,Maurya Path & Shambal Rd,9304362207.0,25.6077238,85.0757167,&
    Remould house ( Raja bhattacharya ),R N Enclave,,25.5917514,85.1689124,R N Enclave
    PURANI HAWELI JANTA GARAGE,90 Feet Rd near Bahadurpur HIG Housing Colony,7858827548.0,25.5915659,85.1682351,90 Feet Rd
    Castrol Bike Point - Chandni Auto,No K/694 Malahi Pakdi Road,9308679608.0,25.5965136,85.157484,No K/694
    Murari Bike Service Centre,H3MW+RCC In Front Of Vijay Petrol Pump New Bypass Rd,7677324149.0,25.5845635,85.0960274,In Front Of Vijay Petrol Pump
    S.R.S Automobile,PCS Road East Jaganpura Near 90 feet Kankarbagh Patna Bihar Pin- 800027,8789506008.0,25.5836473,85.1559153,Patna
    Honda Bigwing Service Patna,Shivaji Nagar Rd,,25.6410001,85.0982483,Shivaji Nagar Rd
    Smart Garage - Pardhan Automobiles,Durga Mandir Hathsarganj Road near S.B.I Branch,9555939857.0,25.6242517,85.104311,Hathsarganj Road
    Chandan Hero Service Centre.,near Litera Valley Public School,8292757418.0,25.5976769,85.1800196,near Litera Valley Public School
    Castrol Bike Point - Guru Kripa Auto Parts,Flat No 16 Rajendra Nagar Main Rd,8789787952.0,25.6039476,85.1676812,Flat No 16
    Bobby Bike Care,J486+QJ5 Main Road,9835443072.0,25.6168984,85.1116062,J486+QJ5
    Vicky Bike Service Centre,Bhootnath Rd near Pani tanki,9110992192.0,25.5961782,85.1746118,Bhootnath Rd
    Bike Point Service Centre,J468+5GV Basawan Park Rd,9835421477.0,25.6104899,85.116303,J468+5GV
    Narayan Servicing Center,harnichak mohali,6207181088.0,25.5798204,85.0926338,harnichak mohali
    Krishna Bike Service Center,,,25.6186545,85.0951614,
    Chotu Hightek Bike Service Center,01 Bypass Rd near Ramanand Hospital,9341238592.0,25.5837249,85.1449931,Bypass Rd
    Sagar TVS Service Centre,Near International School,7283002556.0,25.6349342,85.1015531,Near International School
    I T S Bike repairing centre (India Tyre),Ram Nagar Bangali Tola Bus Stand Near Jakkampur Thana Bus Stand Road,9155896673.0,25.5952102,85.1369598,Near Jakkampur Thana
    S.K BIKE CENTER,Malhotra Ln,9308407940.0,25.609577,85.1450798,Malhotra Ln
    Deepak Hero Honda Service Centre,Tempo Stand for SIPARA BUS STAND East Of DC - 01,9931885035.0,25.5929526,85.1505301,East Of
    Akbar bike repair anisabad,Sury narayan mandir opposite Patna,7050394001.0,25.5844463,85.0942965,Sury narayan mandir
    Royal Enfield Service Center - Sukhmani Elite,DS/24L Lohanipur Kankerbagh near opp. Pancardia Hospital,9167163086.0,25.5999064,85.1562123,Kankerbagh near
    Alankar Honda,Bypass Rd beside Ashay IOC Petrol Pump,9304055892.0,25.5828976,85.11387,Bypass Rd
    Honda Bike Repairing Centre,H5W6+37Q,7360872652.0,25.595202,85.160731,H5W6+37Q
    Kundan Bike Service Centre,RMS Colony Main Rd,9155614249.0,25.5867929,85.1531235,RMS Colony Main Rd
    Antra Sales,Shree Ram Palace Station Rd,9738262330.0,25.6058756,85.1398121,Shree Ram Palace
    KTM Anisabad Service Centre,H4MF+37C,7696957050.0,25.5827761,85.1232404,H4MF+37C
    TVS Authorized Spare Parts- Zenith,Shyam Centre Main Rd near Chaudhary Petrol Pump,18002587555.0,25.6027083,85.1427193,Main Rd
    Yati Automobiles-Yamaha,Over Bridge Bypass Rd near Sipara,,25.5839814,85.1225587,Bypass Rd
    Akarsh Bajaj,M. P. Complex Bypass Rd near 70 Feet BPCL Road,9304196810.0,25.5843035,85.120785,Bypass Rd
    SHAMBHU SCOOTER SERVICE CENTER,Kankarbagh Chandmari Rd Gali Number 7,9835664870.0,25.5987281,85.1445405,Chandmari Rd
    Prema Honda,Bindwasini Bhawan Post office lane Exhibition Rd,,25.6103457,85.1429039,Post office lane
    Royal Enfield Service Center - Sudhir Automobiles,New Alka Puri Bypass Rd opposite Bharat Petroleum,9167308611.0,25.582912,85.111717,Bypass Rd
    Valvoline Bike Xpert - Friends Bike Service Point,near Western Mall,9123477599.0,25.618312,85.048686,near Western Mall
    Impulse Suzuki Service,90FT ROAD Road No. 4,9153913688.0,25.585075,85.157922,90FT ROAD
    Tirth Automobiles - Hero MotoCorp,Ground Floor Industrial Estate Road,9608477599.0,25.6376271,85.1106109,Industrial Estate
    Maa Tara Enterprises,2 Mithapur Rd,8317718129.0,25.5892204,85.1354948,2
    BENELLI | KEEWAY-PATNA SHOWROOM & SERVICE,Bypass Rd near ford hospital,8886635083.0,25.5845797,85.1639154,Bypass Rd
    Royal Enfield Showroom - Sukhmani Motors Pvt Ltd,Sukhmani Motors Zero Mile near New Azad Body Builder,9167371298.0,25.5849581,85.1886851,Sukhmani Motors Zero Mile
    Honda Bike Repairing Centre,Shop No. H-58 Rameshwaram Community Hall Road,7360872652.0,25.595202,85.160731,Rameshwaram Community Hall
    Chandan Automobiles - Hero MotoCorp,Kankarbagh Main Rd,9289922169.0,25.6032157,85.1494752,Kankarbagh Main Rd
    Shubham automobile,Khemnichak Rd,8434578368.0,25.5759734,85.1605632,Khemnichak Rd
    Pahadiya Honda,J42V+XFM House of Late Madanlal Jain Chiraiyatand Kankarbagh Main Rd near Mahav Bridge,6122384088.0,25.6024716,85.1436728,Kankarbagh Main Rd
    Bombay Moter,,8877707004.0,25.5789311,85.0985869,
    U Auto,Gol ghar,7631555855.0,25.6208,85.1382266,Gol ghar
    KTM Husqvarna Anisabad,Mahmadpur Complex Bypass Rd,7065024671.0,25.5842894,85.1208887,Mahmadpur Complex
    Jawa Yezdi BSA Service,near Mahindra Service Center,9031823261.0,25.6000848,85.1804723,near Mahindra Service Center
    Patna Motors - Yamaha,Kankarbagh Main Road & Old Bypass Road,,25.5996376,85.1802964,&
    Golden Auto,Atal Path near Pani Tanki below foot over bridge,9534850788.0,25.6220212,85.1068224,near Pani Tanki
    PREMIA - PATNA - CHANDAN AUTOMOBILES - Hero MotoCorp,Ground Floor Patna New Bypass 90 Feet Rd near Ford Hospital,9289234281.0,25.5853901,85.1662369,90 Feet Rd
    TVS - Urja Autocorp,Shivpuri Chitkohra Bypass Rd,9905774563.0,25.5833132,85.1154575,Shivpuri Chitkohra
    DTDC COURIER SERVICES,Kanti Factory Rd near punjab national bank,9708019000.0,25.5989192,85.1697915,Kanti Factory Rd
    Patliputra Automobiles,Exhibition Rd beside smart bazar,,25.6079246,85.1414137,Exhibition Rd
    Asha Automobiles Pvt Ltd. - Hero MotoCorp,Survey No 669 Asha Arcade,9289922702.0,25.5796459,85.1037067,Survey No 669
    Honda Bike Repairing Centre,No reviewsShop No. H-58 Rameshwaram Community Hall Road,7360872652.0,25.595202,85.160731,Rameshwaram Community Hall
    Krishna Bike Service Center,Motorcycle parts store,,25.6186545,85.0951614,Motorcycle parts store
    Chotu Hightek Bike Service Center,01 Bypass Rd near Ramanand Hospital,9341238592.0,25.5837249,85.1449931,Bypass Rd
    Sagar TVS Service Centre,Near International School,7283002556.0,25.6349342,85.1015531,Near International School
    I T S Bike repairing centre (India Tyre),Ram Nagar Bangali Tola Bus Stand Near Jakkampur Thana Bus Stand Road,9155896673.0,25.5952102,85.1369598,Near Jakkampur Thana
    S.K BIKE CENTER,Malhotra Ln,9308407940.0,25.609577,85.1450798,Malhotra Ln
    Deepak Hero Honda Service Centre,Tempo Stand for SIPARA BUS STAND East Of DC - 01,9931885035.0,25.5929526,85.1505301,East Of
    Akbar bike repair anisabad,Sury narayan mandir opposite Patna,7050394001.0,25.5844463,85.0942965,Sury narayan mandir
    Royal Enfield Service Center - Sukhmani Elite,DS/24L Lohanipur Kankerbagh near opp. Pancardia Hospital,9167163086.0,25.5999064,85.1562123,Kankerbagh near
    Alankar Honda,Bypass Rd beside Ashay IOC Petrol Pump,9304055892.0,25.5828976,85.11387,Bypass Rd
    Kundan Bike Service Centre,RMS Colony Main Rd,9155614249.0,25.5867929,85.1531235,RMS Colony Main Rd
    Antra Sales,Shree Ram Palace Station Rd,9738262330.0,25.6058756,85.1398121,Shree Ram Palace
    KTM Anisabad Service Centre,H4MF+37C,7696957050.0,25.5827761,85.1232404,H4MF+37C
    TVS Authorized Spare Parts- Zenith,Shyam Centre Main Rd near Chaudhary Petrol Pump,18002587555.0,25.6027083,85.1427193,Main Rd
    Yati Automobiles-Yamaha,Over Bridge Bypass Rd near Sipara,,25.5839814,85.1225587,Bypass Rd
    Akarsh Bajaj,M. P. Complex Bypass Rd near 70 Feet BPCL Road,9304196810.0,25.5843035,85.120785,Bypass Rd
    SHAMBHU SCOOTER SERVICE CENTER,Kankarbagh Chandmari Rd Gali Number 7,9835664870.0,25.5987281,85.1445405,Chandmari Rd
    Prema Honda,Bindwasini Bhawan Post office lane Exhibition Rd,,25.6103457,85.1429039,Post office lane
    Royal Enfield Service Center - Sudhir Automobiles,New Alka Puri Bypass Rd opposite Bharat Petroleum,9167308611.0,25.582912,85.111717,Bypass Rd
    Royal Enfield Service Center - Balprada Motors Pvt Ltd,Plot A5,9167299285.0,25.6344003,85.1009398,Plot
    Friend Auto Service,Kumhar Gali,,25.6201687,85.1300592,Kumhar Gali
    Jawed Bullet | Royal Enfield Service Center | Best Bullet Repair shop,J45W+4V4 Pirmohani Road Pahli Gali near uma cinema hall,7004536721.0,25.6078023,85.1472159,Pahli Gali
